City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
237,chepo,PA,81.27,overcast clouds,9.1667,-79.1,Hotel La Hija Del Conde
242,kudahuvadhoo,MV,85.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
243,benguela,AO,76.86,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
244,cortazar,MX,77.72,overcast clouds,20.4833,-100.9333,Hotel El Carro
245,noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
247,nata,PA,78.3,overcast clouds,8.3333,-80.5167,Rey David
249,karaton,ID,81.19,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
259,safaga,EG,76.24,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
262,lorengau,PG,83.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
267,tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
268,atar,MR,78.26,overcast clouds,20.5169,-13.0499,Oumou Elghoura
278,georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
289,cockburn town,TC,77.02,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
291,bhadrak,IN,89.73,overcast clouds,21.0633,86.5054,Hotel bluevine
294,homestead,US,78.03,scattered clouds,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
297,rikitea,PF,76.78,moderate rain,-23.1203,-134.9692,People ThankYou
299,roebourne,AU,85.35,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
301,katherine,AU,91.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
302,atuona,PF,79.29,clear sky,-9.8,-139.0333,Villa Enata
305,port hedland,AU,80.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
317,isangel,VU,81.41,overcast clouds,-19.55,169.2667,Tanna Lodge
318,yenagoa,NG,76.06,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
