City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
417,hofn,IS,64.2539,-15.2082,48.36,51.0,41.0,8.41,scattered clouds
418,vaini,TO,-21.2,-175.2,80.76,89.0,75.0,10.36,broken clouds
419,teguldet,RU,57.3064,88.1667,42.42,68.0,100.0,7.74,overcast clouds
420,la ronge,CA,55.1001,-105.2842,39.45,65.0,75.0,12.66,broken clouds
421,longyearbyen,SJ,78.2186,15.6401,12.04,62.0,0.0,0.0,clear sky
422,tres lagoas,BR,-20.7511,-51.6783,74.77,55.0,58.0,1.92,broken clouds
423,siparia,TT,10.1333,-61.5,77.79,92.0,84.0,1.01,broken clouds
424,skibbereen,IE,51.55,-9.2667,51.12,94.0,100.0,8.19,overcast clouds
425,ostersund,SE,63.1792,14.6357,35.62,93.0,75.0,6.91,broken clouds
426,butembo,CD,0.15,29.2833,56.03,97.0,85.0,2.93,light rain
427,boulsa,BF,12.6675,-0.5758,88.65,29.0,79.0,5.68,broken clouds
428,yakeshi,CN,49.2833,120.7333,46.26,21.0,11.0,9.35,few clouds
429,berbera,SO,10.4396,45.0143,83.88,79.0,90.0,5.35,overcast clouds
430,edd,ER,13.9297,41.6925,86.14,63.0,100.0,4.29,overcast clouds
431,bilma,NE,18.6853,12.9164,88.34,10.0,89.0,4.74,overcast clouds
432,imbituba,BR,-28.24,-48.6703,67.86,93.0,100.0,9.24,light rain
433,barinas,VE,8.6226,-70.2075,84.24,70.0,100.0,3.44,overcast clouds
434,saint-joseph,RE,-21.3667,55.6167,73.78,80.0,33.0,3.33,scattered clouds
435,sola,VU,-13.8833,167.55,81.99,71.0,100.0,6.06,moderate rain
436,talnakh,RU,69.4865,88.3972,20.21,88.0,100.0,11.25,light snow
437,itoman,JP,26.1247,127.6694,70.57,85.0,75.0,12.66,broken clouds
438,chuy,UY,-33.6971,-53.4616,56.19,76.0,100.0,4.83,overcast clouds
439,victoria point,AU,-27.5833,153.3,76.17,78.0,100.0,5.99,overcast clouds
440,chadan,RU,51.2833,91.5833,62.4,25.0,27.0,3.58,scattered clouds
441,arraial do cabo,BR,-22.9661,-42.0278,73.45,86.0,95.0,8.79,overcast clouds
442,madimba,TZ,-10.4,40.3333,72.7,87.0,9.0,9.1,clear sky
443,uchana,IN,29.4667,76.1667,96.73,11.0,5.0,8.77,clear sky
444,itarema,BR,-2.9248,-39.9167,76.19,88.0,85.0,6.53,overcast clouds
445,port alfred,ZA,-33.5906,26.891,54.18,80.0,70.0,3.0,broken clouds
446,bardiyah,LY,31.7561,25.0865,63.01,73.0,42.0,4.99,scattered clouds
447,hermanus,ZA,-34.4187,19.2345,56.89,83.0,7.0,4.21,clear sky
448,guerrero negro,MX,27.9769,-114.0611,60.1,86.0,89.0,15.82,overcast clouds
449,college,US,64.8569,-147.8028,55.47,27.0,40.0,17.27,scattered clouds
